Rank|ChatMessage
Bronze|bro team stop ez play report
Silver|the mb clean wp are
Celestial|play clutch stop glhf
Gold|mid good team clean nice
Gold|are mid ez the play afk
Silver|garbo bro game
Platinum|clutch glhf my game
Gold|my stop bro clean
Gold|team are play good
Silver|bro mb game good
Gold|garbo stop team
Platinum|the team my quit bro
Diamond|the useless trash team garbo play
Silver|bot stop team my thrower
Gold|bot you report are
Silver|mid team ez my game
Gold|you useless trash the
Platinum|bro glhf are play mb mid clean
Bronze|team bot uninstall bro
Gold|play stop garbo
Gold|thrower are team uninstall diff
Bronze|game bot team bro stop
Gold|the mid garbo bro
Grandmaster|game team the trash play report
Silver|noob the stop my you
Grandmaster|team suck quit you my bro
Gold|stop quit are mid garbage afk
Gold|wp the nice stop glhf my play
Silver|clutch bro good stop team game
Platinum|stop the good nice are mb my
Silver|you play suck stop
Gold|play clutch my game good
Platinum|are stop game garbage
Platinum|are save gg team
Diamond|diff afk you my game
Gold|save my good clutch play
Grandmaster|nice the glhf wp mid team
Bronze|you game my trash afk bro uninstall
Gold|stop bot the team you garbage uninstall
Silver|you afk mid are my
Silver|my the report diff mid
Silver|my team clean mb wp
Silver|bot suck you team stop bro
Bronze|save you my bro mid
Gold|report team trash bot you
Diamond|you stop team uninstall my
Platinum|stop useless game
Silver|the my good nice
Celestial|noob my mid the
Gold|good bro clean game play nice
Platinum|wp save mb play you mid
Silver|gg glhf clutch team stop bro
Platinum|you stop wp
Silver|play stop my diff useless
Gold|team uninstall thrower mid bro
Platinum|mid wp team good the my
Silver|uninstall mid quit are
Gold|useless my you
Bronze|play game mb team wp
Gold|gg mb save bro team the
Diamond|you report diff play ez bro
Platinum|my bro the stop report
Diamond|bro my diff game thrower the report
Silver|the team quit you thrower bro garbo
Silver|the play my quit afk
Silver|team game you report
Gold|mid team save good clean you are
Silver|play clutch team gg my
Gold|bro useless play diff my noob
Gold|bro uninstall stop ez the noob
Silver|suck are bro the thrower afk
Bronze|useless mid stop uninstall ez
Silver|noob uninstall you bro are
Silver|the clean nice mb you
Platinum|you stop report team game
Gold|the bro mid ez
Gold|bro game clutch play mid
Platinum|the bot you team play quit
Silver|gg game stop mb
Gold|save are wp stop clutch
Silver|clutch team the my wp save
Silver|play diff quit the garbo team are
Platinum|stop you noob quit are
Bronze|mid are bro the garbage
Gold|game bro bot you
Diamond|quit trash stop game the are thrower
Gold|thrower trash team bro noob
Silver|diff thrower bro game suck you stop
Gold|play stop bro trash ez
Gold|trash game mid diff useless
Grandmaster|you afk are game
Gold|report you garbage useless team
Diamond|garbo ez the diff play you
Silver|clutch my play mid
Platinum|team mid mb wp good the bro
Bronze|wp stop clutch bro
Platinum|garbage mid garbo noob play team you
Bronze|game my the diff team
Silver|thrower stop you game are
Bronze|game bro the afk
Gold|my the good stop glhf save
Gold|useless are my stop ez play
Silver|team useless the report my
Silver|you clutch nice mid
Platinum|the are trash report stop
Gold|thrower stop afk the mid game garbo
Platinum|mid quit thrower useless play
Gold|team noob ez play quit
Bronze|mid thrower bro suck
Platinum|team play are afk useless
Silver|bot game you noob diff
Silver|glhf gg play save game
Platinum|are nice you clutch good game
Gold|thrower mid the my
Platinum|clutch are team glhf
Silver|noob bro mid quit you
Gold|the game garbage bro you
Silver|game clutch the save bro you gg
Silver|good save stop team
Bronze|the diff game are my
Platinum|the team mid gg stop
Gold|stop play glhf
Platinum|team mid gg bro are
Bronze|my diff are report uninstall play
Gold|nice save game you my bro clean
Bronze|noob stop trash my
Gold|you glhf play team are
Silver|you mid wp stop team
Silver|mb game bro the nice save are
Bronze|trash diff mid team my
Platinum|you team play mb game
Silver|noob quit bro trash play
Grandmaster|play you bro my useless
Silver|the play mid bot
Gold|report team my mid
Silver|game good team are you
Bronze|play afk stop suck bot game my
Gold|team you the mb play
Platinum|play mb clean wp are
Silver|game the my mb save
Diamond|thrower the suck you stop garbo game
Gold|are the quit you ez garbage
Diamond|game garbo bro quit play suck the
Silver|uninstall the my you team
Bronze|team stop bro garbo the
Bronze|the bro bot
Silver|noob my the thrower
Platinum|you nice stop
Diamond|team bro game thrower useless my
Silver|mid game ez report stop my
Silver|clutch team stop glhf
Bronze|bro team diff bot quit play
Diamond|bot the stop quit game
Platinum|suck quit team uninstall bro play
Bronze|useless game the
Diamond|thrower you ez the play team
Gold|save game mid gg stop
Gold|play you mid team garbo report
Platinum|my stop clean bro team
Grandmaster|quit team you stop mid
Gold|bro thrower the trash
Gold|noob play my you
Silver|gg nice you game save play my
Grandmaster|are glhf clean stop game team
Platinum|useless team my ez
Silver|play garbage you useless game ez
Platinum|ez suck uninstall stop mid team
Gold|suck game you are bro noob
Gold|are you stop good gg bro glhf
Gold|good mid are
Bronze|mid report the
Diamond|bro wp gg are the mid
Gold|garbage afk are useless bro
Grandmaster|play diff noob stop
Silver|team my noob game suck
Diamond|you play are noob
Platinum|wp nice bro are save
Bronze|play trash game are the
Platinum|my are quit stop garbage
Gold|the diff bro thrower are
Silver|mid play gg bro my nice
Silver|ez garbo you the bot bro my
Platinum|glhf are mid clean you nice
Bronze|bro good glhf team are the
Silver|you play save the my
Grandmaster|are play mb save the team nice
Platinum|are diff game
Silver|team useless my you bro ez
Gold|suck report you team
Diamond|bot you garbo suck the play team
Silver|game mb are
Silver|save play the clean are game
Platinum|garbage the bot bro game mid suck
Gold|are my bro save mb nice
Silver|afk bot are garbo the
Platinum|my useless the noob stop
Platinum|stop clean play good game
Gold|mb clean mid the you stop save
Silver|mb play game
Bronze|stop ez game
Silver|are you garbage
Silver|team mid ez afk trash
Silver|noob game play stop
Bronze|bro garbage team bot
Gold|mid trash team my uninstall noob
Silver|uninstall my trash mid play
Gold|game afk garbo diff stop are
Silver|nice wp you bro good the
Gold|my report noob useless game mid
Bronze|team bot my mid trash
Gold|stop wp game save the
Diamond|noob bro team
Platinum|good the my clutch are mid wp
Diamond|my report mid garbo play useless
Bronze|game save you wp the stop
Platinum|are team game suck play
Silver|mid stop are report the garbage
Gold|nice my save play mb team
Diamond|report trash my bro afk mid team
Gold|glhf stop my clean wp the
Celestial|the my wp are
Silver|diff garbo the game
Silver|mid thrower stop
Bronze|nice good mid wp game
Bronze|afk uninstall team bro mid
Platinum|bro are useless garbo you
Platinum|clean you mid play save
Diamond|thrower play stop bot my quit
Silver|my mid uninstall stop are
Platinum|stop mid ez
Bronze|bot team game noob play
Silver|play clean bro
Gold|thrower play garbage game
Platinum|nice play the bro
Silver|report bro trash stop
Diamond|suck useless bot stop bro
Bronze|uninstall bro useless you
Silver|quit report ez game stop
Diamond|are my play useless
Gold|suck mid bot my team
Gold|glhf clean game my gg
Silver|suck thrower bro the noob game
Bronze|mid stop thrower game team
Gold|glhf game are the play nice
Gold|trash the team
Silver|game suck are
Platinum|quit play mid afk
Gold|uninstall mid team
Platinum|stop wp bro
Gold|the bro play suck my
Silver|play are good
Grandmaster|stop glhf my game
Diamond|my ez team bro are
Platinum|clean my team mb
Silver|mid stop ez you game
Gold|gg glhf stop nice team
Diamond|team stop mid afk quit play thrower
Gold|bro are mid game clutch nice
Gold|you are play trash
Gold|my play suck
Bronze|my noob mid
Bronze|bot the diff stop
Diamond|stop the thrower
Silver|bro ez trash stop
Silver|useless team thrower are bro uninstall you
Bronze|mid uninstall garbage bro team
Grandmaster|play are bro my clutch
Platinum|game are stop trash noob team suck
Silver|mid stop the garbo
Bronze|thrower stop you
Silver|mid garbage bro uninstall suck play you
Platinum|play bro team clean
Gold|play game stop my afk
Silver|nice team game mb you my
Silver|save are bro game nice good
Platinum|mb stop play bro clutch game gg
Silver|nice are the bro mb play save
Silver|bot stop my are game ez
Silver|play mid clean bro gg clutch are
Bronze|quit afk game stop ez play
Gold|you clean the game good stop
Platinum|game team play the trash ez garbo
Gold|mb are mid play team clutch
Bronze|diff uninstall my garbo team
Platinum|mid play glhf bro game
Gold|game stop mb mid clutch the good
Grandmaster|are clutch bro
Gold|the my you team report
Gold|garbage play mid the are
Gold|my good play mid
Bronze|thrower my useless noob bro
Platinum|you team my the ez
Gold|bro noob mid my trash thrower are
Gold|garbo game team diff afk
Platinum|gg bro the
Bronze|are stop quit
Gold|garbo mid useless team bro
Silver|suck garbage thrower you the team bro
Platinum|game play glhf
Gold|bro clean play
Gold|are report bro
Diamond|game the stop bot
Gold|clean game mid glhf play gg bro
Platinum|stop report you game
Silver|afk play bro ez you
Bronze|mid glhf save team my clutch
Silver|garbage my diff team are stop
Silver|mb my clutch save you the
Gold|bro stop afk my play thrower
Silver|are bro my noob
Platinum|are thrower game suck
Platinum|team nice save you
Platinum|play afk bro the team
Platinum|stop play bro are nice glhf
Bronze|team bro glhf wp the
Gold|my mb team mid
Gold|garbage team useless the ez
Diamond|mid suck you quit report play the
Silver|the garbage are ez game stop
Gold|good are you
Platinum|team useless report mid my
Gold|game clutch play you mid
Gold|are the good clutch stop
Gold|game are mb my good gg
Silver|quit you mid team
Diamond|clutch mid my team nice save are
Platinum|trash are game thrower bro mid
Gold|stop garbo you
Silver|team garbo my
Platinum|play game the team quit
Bronze|my mid team are clutch
Silver|bro quit stop afk mid bot the
Diamond|afk are play mid quit my
Gold|mid team play diff
Silver|diff mid are useless the
Silver|stop report play quit you
Bronze|wp game the clean good bro
Gold|bro useless suck team
Diamond|my bot diff play
Platinum|mid the play thrower
Bronze|game nice team mb you stop save
Platinum|are diff bro you useless trash
Gold|team the garbo useless mid play report
Celestial|report mid ez game are
Gold|wp are my mb gg
Diamond|the stop ez quit my play thrower
Diamond|the afk ez stop
Silver|the thrower my you bro
Gold|ez suck my team play
Gold|you my save
Bronze|glhf wp bro play the game gg
Silver|play glhf mb team
Silver|stop are garbage the play
Gold|my suck team
Diamond|you the team ez play bot
Silver|mid my thrower team
Bronze|mid afk are quit play garbo you
Silver|trash are stop
Bronze|team play noob uninstall my stop
Gold|the gg game good nice
Grandmaster|you stop bot suck garbo team mid
Platinum|nice glhf game play the are
Silver|my game are uninstall stop
Gold|team garbage afk bro game uninstall the
Diamond|the are clean play you
Bronze|bro stop report uninstall game my
Silver|team play game the nice
Platinum|bro the play garbage
Gold|are diff my the game suck
Bronze|you game garbage
Gold|afk report play team
Silver|nice stop glhf mid team my
Silver|team mid noob stop you
Bronze|bro mb team clutch
Silver|team mid trash stop you report
Silver|good bro mb mid my
Bronze|the bot garbo bro game you
Platinum|save play good glhf game my the
Silver|bro garbo game bot
Gold|mid garbage you are
Platinum|noob mid the bot afk
Bronze|team stop report you
Bronze|save you play team mid
Gold|clutch mb are the bro
Bronze|play game afk thrower bro my
Gold|you bro clean gg game glhf my
Gold|suck you ez my game thrower team
Gold|mid the report bot are
Silver|game noob you bro afk diff the
Silver|noob play game quit mid garbo my
Platinum|clutch bro team game are mb
Diamond|ez you play trash
Bronze|diff stop thrower suck game
Grandmaster|are you garbage stop play uninstall
Gold|are useless play team
Gold|noob my are
Platinum|mb the game
Silver|report my game mid bot
Silver|glhf gg clean bro play
Silver|nice stop play
Silver|team game the glhf
Platinum|you save are bro
Gold|stop diff the bro team
Gold|bro thrower game afk trash
Bronze|mid game stop report
Grandmaster|bot uninstall mid garbo are the
Gold|are the thrower
Grandmaster|the clutch good bro
Platinum|garbage quit game mid
Bronze|mb gg are the stop clutch
Bronze|suck bro are useless
Gold|play noob trash uninstall stop game
Gold|are bro diff trash team play
Bronze|ez you game are
Platinum|wp gg bro you the nice
Diamond|stop quit the
Bronze|team are you garbage
Silver|clutch play the
Gold|game mid thrower report the you
Bronze|my bot noob trash mid you
Platinum|trash bro stop thrower you ez
Gold|team uninstall play ez game noob stop
Gold|trash team stop report garbo my mid
Platinum|play bro stop nice team clean
Bronze|stop my useless mid uninstall game
Silver|play you stop bro clean
Silver|suck report the play thrower
Gold|mid bro stop good nice you glhf
Silver|good stop are the
Bronze|trash play stop the are report diff
Gold|diff you quit useless the
Bronze|you useless game are suck bro
Grandmaster|team play are ez
Bronze|the team my diff report useless you
Platinum|save you game wp my play
Silver|mid my afk game ez
Silver|bot my ez trash team
Bronze|report team you my are quit noob
Diamond|ez team play garbage
Gold|play thrower uninstall you my report
Bronze|you are my trash stop
Silver|report stop uninstall my thrower
Silver|bot you stop
Bronze|mid report are noob my
Silver|trash are stop team
Bronze|you thrower are play report noob
Silver|team garbage thrower game my are
Diamond|team the diff garbo are bro
Bronze|clutch stop my
Diamond|mid the report
Gold|the clutch good save you are
Platinum|uninstall bot bro play report are you
Grandmaster|are you nice mid
Gold|team my thrower are garbo you
Bronze|stop suck game
Diamond|stop garbage ez you mid trash
Gold|gg bro wp stop save
Gold|my mid garbage
Grandmaster|team my mid stop report
Platinum|team save play good game stop
Platinum|play team the useless game
Diamond|team are garbo suck
Silver|game wp my mb good
Platinum|the you diff mid bot game
Silver|the trash play report stop you
Gold|play wp my mb mid
Diamond|bro glhf mid good play save
Bronze|thrower bro you trash
Platinum|play ez bot are report
Platinum|team gg the bro you
Silver|bro mid play trash
Grandmaster|are team bot report suck
Diamond|garbo trash team game
Bronze|are afk trash team
Platinum|you bro bot thrower
Platinum|team save stop play
Gold|the useless trash ez mid
Gold|nice mb you are gg
Silver|garbo are game play you uninstall
Diamond|mid bot the bro afk
Silver|garbage report game my quit
Platinum|my play bro wp mb
Platinum|noob thrower you play quit are
Silver|the stop are game nice
Platinum|are garbage the bro afk noob
Grandmaster|noob report you mid thrower game play
Diamond|are diff garbo game the team
Grandmaster|the are bro uninstall useless diff game
Silver|nice clutch are my
Gold|team wp bro mid
Silver|my team uninstall bot useless stop
Platinum|diff my stop trash mid report
Bronze|my bro are good
Silver|bot trash stop are bro
Diamond|garbage the stop
Platinum|team are noob garbage play
Silver|bot ez stop are play diff
Gold|play clutch team
Silver|quit uninstall report are team
Platinum|gg my play
Grandmaster|quit diff stop mid ez
Platinum|gg are stop mid save mb
Gold|uninstall quit bro stop team mid
Platinum|mid noob uninstall my quit
Platinum|stop are team clutch
Platinum|bro garbo you report
Silver|save game my play you good
Gold|mid uninstall are you
Platinum|garbo uninstall quit stop bro
Silver|clutch you stop my save wp
Platinum|trash you play diff the my useless
Gold|useless stop team ez you
Bronze|mid ez stop afk game
Gold|uninstall thrower trash bro my
Gold|the play game team useless noob
Gold|clutch wp nice play the stop
Diamond|uninstall mid team garbage
Silver|are noob my play
Platinum|report play bot thrower bro
Bronze|bro mid team you uninstall
Silver|team my game suck
Bronze|the play thrower you garbo mid useless
Platinum|bro you game the clean
Gold|game are play good
Gold|bro stop afk uninstall noob
Gold|the my garbo stop garbage ez game
Silver|the clean are game gg play
Gold|play game stop are garbo
Grandmaster|stop my mid trash suck garbage
Gold|the afk thrower you stop uninstall
Silver|team diff game mid
Silver|game afk team bro mid ez
Silver|trash are quit mid stop useless
Bronze|diff useless mid are
Diamond|report game team bot the garbo
Gold|are diff stop garbage garbo
Bronze|quit bro you noob
Bronze|you my team are uninstall
Silver|my garbo play the bot suck mid
Platinum|team my stop are nice
Silver|quit useless mid the stop are suck
Silver|stop diff report the afk
Gold|team useless bro the
Bronze|you mid gg team are wp
Gold|game stop play mb wp bro
Gold|thrower uninstall my report team bro mid
Silver|you gg clean wp team
Platinum|are glhf play clutch
Silver|team bro diff garbo
Gold|are good team my bro
Silver|clutch mb team play
Bronze|are save nice bro
Silver|stop garbage mid bro uninstall the
Gold|the thrower team bro
Platinum|the mid mb
Grandmaster|bro bot thrower diff the my
Silver|the you are clutch
Diamond|mid team are afk you
Platinum|suck my you quit
Silver|you garbo uninstall play thrower
Gold|are play wp
Bronze|team useless bro mid bot stop thrower
Gold|suck team diff thrower you mid
Grandmaster|garbo team are useless mid
Silver|game glhf mid are
Platinum|play suck mid team diff
Silver|the stop garbo my
Gold|garbo my mid
Gold|noob play stop
Gold|you play clean the
Platinum|the my bro nice you clutch
Gold|afk stop you team
Gold|the gg bro team you glhf
Grandmaster|save my mid
Gold|afk thrower you trash play
Bronze|thrower quit bro are trash
Bronze|garbo thrower game team play
Gold|gg clutch stop mid are game
Silver|stop are wp mb
Diamond|quit play team garbage
Grandmaster|my are team wp
Platinum|save game good mid stop team glhf
Gold|are mid bro useless
Silver|mb bro gg game save
Gold|are quit play
Gold|diff uninstall the my stop
Grandmaster|garbage are stop
Celestial|my game trash bot are you
Bronze|the bro my useless
Bronze|afk team play trash are game
Platinum|you clutch mb game are
Silver|useless game team
Gold|stop diff thrower play trash
Silver|you play stop gg
Diamond|the bot ez afk my
Bronze|you report the play
Gold|play wp are game
Platinum|the good stop glhf game
Gold|garbage stop mid report
Bronze|my afk garbage team mid you
Silver|ez game you mid my
Platinum|game are my garbo
Silver|glhf mb my are save team
Gold|wp mid team you my
Gold|report mid afk bro ez
Gold|glhf game team
Silver|garbo mid report play game
Gold|stop garbage quit team
Diamond|stop the team save are
Gold|garbage report my mid team play
Gold|garbage team stop are my
Bronze|wp clean you clutch stop
Platinum|mid you stop wp clutch glhf my
Diamond|play you thrower mid
Bronze|play are mid report the diff
Gold|you glhf stop
Diamond|team quit the thrower uninstall
Gold|nice mb you wp team
Platinum|mid play are thrower team
Bronze|suck thrower my game
Silver|you save mid glhf wp
Gold|are garbage mid
Platinum|glhf good game stop team the
Bronze|mid the trash play useless afk
Bronze|suck team play garbo
Silver|team good my bro
Grandmaster|ez the team play
Gold|diff play are you garbage
Bronze|wp save my are clean
Silver|are stop game suck
Silver|the diff mid bot
Gold|mb game you stop save mid
Bronze|mid glhf clutch the team
Gold|bro mb you nice stop
Bronze|garbo ez useless the game
Gold|bro wp good my mid
Bronze|the mid clean mb team game
Silver|ez afk bro you
Silver|team useless stop trash
Gold|thrower bro the suck team mid
Gold|good are team you mid save clutch
Silver|mid thrower play stop garbo my ez
Silver|play afk my stop
Platinum|you team garbage bot
Diamond|useless bro are the ez
Platinum|bro glhf my nice stop
Silver|the gg stop good are
Silver|mid wp my gg you are good
Platinum|mb my gg game are team save
Gold|clutch the glhf bro mb you
Bronze|you my mid play suck
Gold|clean clutch bro good game
Bronze|stop my ez noob
Gold|mid save good you mb
Platinum|you good gg play
Platinum|team garbage my bot thrower
Gold|bro wp you save are
Silver|bot are my garbage
Bronze|team you report
Platinum|clutch mb stop play
Diamond|my nice mb are wp team
Gold|mid the bro clutch my
Platinum|are glhf play
Silver|mid thrower garbage ez bro
Gold|uninstall team stop useless bot play
Diamond|mid the quit
Silver|report my play diff you stop
Platinum|nice mid my play wp
Grandmaster|clutch mb my bro save
Silver|stop useless play ez team game
Silver|play game uninstall trash the garbage
Diamond|mid clean nice you bro
Diamond|bro are play report
Diamond|quit are team game
Diamond|my afk mid diff garbage
Gold|mid suck thrower my you
Silver|garbage bro play you noob my
Gold|you mid suck play useless report
Gold|trash uninstall diff stop game
Bronze|afk thrower play game you stop
Gold|my play the clutch glhf nice
Gold|you play trash
Gold|bro game my report are afk
Gold|nice you game
Grandmaster|my thrower team play stop
Gold|garbage mid thrower diff play
Silver|save play wp stop gg
Gold|game mid wp
Platinum|play save are my
Bronze|suck stop you
Gold|clutch gg you the
Platinum|the nice clean bro game
Silver|stop afk diff thrower bro
Gold|you team noob
Bronze|garbage my the bro garbo bot
Gold|my garbo the game team
Grandmaster|gg clutch nice stop are game mid
Silver|clean my mid team clutch
Gold|are stop suck you
Silver|mid stop useless
Silver|bro good gg game
Silver|the garbo mid report my
Gold|useless noob the garbage game
Bronze|garbo team garbage afk my
Bronze|the diff you trash game report play
Gold|useless my stop
Platinum|my mid are good
Gold|stop are diff play
Diamond|play report bot mid the thrower you
Diamond|garbage report my the
Silver|the wp team gg save mid
Grandmaster|team play the my nice
Silver|mid you are noob
Gold|game wp my
Gold|clutch the team game are nice
Diamond|play useless bro mid game
Grandmaster|play the nice you are glhf
Silver|suck team mid my game
Silver|mid team garbo afk are stop diff
Silver|bot my suck bro the quit team
Silver|mid uninstall suck play team you afk
Platinum|team mid my good bro
Platinum|garbo mid thrower my team noob
Silver|clean stop glhf are
Gold|team gg bro game
Gold|mid you glhf stop play
Gold|stop are wp team save good play
Gold|mid game noob
Silver|you bro ez afk play
Gold|game team report my play
Silver|play game mb
Bronze|the ez are uninstall
Platinum|mb team you
Bronze|garbage suck stop my diff
Platinum|you are glhf the save my
Gold|game team stop play quit noob useless
Platinum|team clean bro nice glhf
Bronze|gg play game
Gold|you bot my trash bro
Bronze|report the team diff stop play quit
Platinum|nice mid play game bro
Gold|play save nice you stop
Bronze|my diff garbage are stop uninstall
Silver|the useless you my
Platinum|noob my team bot play you
Bronze|garbo my bro
Gold|team my thrower game
Gold|trash you mid bro team
Gold|ez mid uninstall bro
Platinum|the noob bro useless garbage
Silver|my trash play diff bro suck
Silver|glhf good save team my
Gold|play stop useless mid
Grandmaster|you afk suck bot stop team
Silver|stop the game clutch bro
Gold|suck mid are stop
Gold|play uninstall quit bro are mid
Silver|the ez diff garbo you
Silver|are suck game bro my
Platinum|team the mb my stop
Platinum|team play save mb my mid
Gold|play stop ez my the thrower
Silver|play good mid glhf save
Gold|team useless mid play the noob quit
Platinum|trash mid report team bro are
Gold|glhf bro the game save
Platinum|bro wp you good
Gold|stop garbage bot bro
Bronze|mid the my clean clutch are
Grandmaster|quit team are
Grandmaster|garbo trash afk stop play bro mid
Diamond|glhf gg wp bro the
Grandmaster|mid bro stop garbage suck
Gold|thrower team are play stop
Platinum|play diff uninstall team
Platinum|you game team afk are
Bronze|mb the clutch clean team are
Silver|trash stop suck the bot
Grandmaster|you gg glhf my
Grandmaster|diff suck the bro
Celestial|stop my are save
Gold|suck stop the game
Diamond|the are stop bot
Diamond|mid team useless you my
Bronze|team bot my suck thrower play
Grandmaster|you are wp bro my
Gold|mid stop noob garbage report are my
Grandmaster|mid afk game play you ez
Gold|the garbo uninstall are garbage mid
Gold|garbage diff are play team mid
Bronze|uninstall thrower the team play
Bronze|garbo uninstall you team bro stop noob
Diamond|bro are report you mid
Bronze|trash bro you
Bronze|bro game mb
Gold|stop you ez team bot garbage game
Platinum|stop useless team
Bronze|diff you stop mid
Gold|stop bot team play my ez
Silver|wp my stop bro
Diamond|are mid game team diff thrower
Platinum|garbage uninstall my are play quit
Silver|the report are team garbage stop
Diamond|are bro garbo my garbage game
Silver|game bro glhf you save play
Diamond|report afk suck mid you
Gold|play my noob
Bronze|play afk the
Gold|gg good game mid clean
Platinum|nice mid wp bro clutch
Gold|my bro garbo quit
Platinum|nice my mb bro clutch
Silver|mid bro are ez
Silver|mid game garbo diff
Gold|you are stop suck trash my
Bronze|clean save bro clutch game
Bronze|game useless the mid my afk
Silver|mid quit the
Gold|afk my trash stop the garbo
Gold|game nice clean play
Gold|the you clean my clutch wp
Platinum|nice bro gg team mid
Gold|bro nice game save stop wp
Gold|game my thrower the
Gold|play report stop game mid
Gold|game diff my bro garbage the uninstall
Silver|wp mid stop play gg bro
Silver|play my thrower you suck bot
Diamond|diff my bot bro
Gold|mid report the team trash garbage
Gold|thrower game suck bro garbage
Silver|are you suck afk team ez bro
Bronze|are quit trash game afk bro team
Silver|bro glhf the wp game mid clean
Silver|my mid you are diff
Bronze|the my useless bot
Diamond|afk report team stop game suck
Silver|mid team my you save
Silver|play stop team diff
Gold|trash my ez you are
Silver|stop quit play suck
Gold|report trash my game thrower
Gold|gg you my
Gold|the team diff mid my trash quit
Platinum|are save gg my
Bronze|you play useless garbage the game ez
Diamond|useless you play garbo afk
Bronze|you team ez are
Platinum|mid bot stop uninstall the
Platinum|thrower my team you noob quit stop
Platinum|good play glhf stop my
Gold|the play ez game
Silver|you suck stop thrower team mid afk
Gold|my are save stop team
Grandmaster|useless play thrower you bot
Silver|clutch gg play game glhf mid
Platinum|are game good team wp clutch
Silver|are uninstall stop mid
Diamond|the useless are uninstall stop report
Gold|game the ez
Silver|mb gg are game you clutch
Platinum|bro game noob my quit garbo mid
Silver|are the save wp clean you
Bronze|stop the play garbo you
Gold|mid play suck diff game the
Gold|garbo my uninstall mid thrower
Silver|afk diff ez my team game
Grandmaster|team thrower you useless mid
Silver|good my stop clutch glhf play the
Gold|garbo you noob team the report play
Bronze|my are bot uninstall
Bronze|you the stop mid garbage
Silver|mid clean mb wp the stop
Gold|trash game you
Gold|garbage garbo play game
Platinum|mid my mb clutch game you
Silver|good wp you my stop
Silver|you mb stop good play
Bronze|glhf are nice bro
Gold|clean are bro you team
Bronze|bro my gg stop glhf are save
Silver|team stop garbo my
Silver|uninstall team are afk stop game
Bronze|mid garbo the uninstall
Gold|garbo you report play
Bronze|uninstall garbo team noob mid my
Diamond|play are afk game
Silver|the afk bot diff you
Gold|useless the game
Gold|my mid report you bot
Silver|mid useless you
Silver|nice bro game
Gold|game mid you nice stop good
Platinum|bro clutch stop mb save
Silver|game bro my uninstall bot
Bronze|report are bro
Gold|good the you are bro gg
Silver|are bro game stop useless
Diamond|the are bot you useless my quit
Diamond|thrower mid are bro
Bronze|play afk you trash
Bronze|clutch bro play mid the
Grandmaster|you the report bot afk
Bronze|game you noob are stop
Bronze|play useless the bro ez
Platinum|the glhf bro play you save
Gold|are game garbage the useless
Gold|mid thrower stop quit garbo
Diamond|report mid thrower quit play bro the
Gold|game stop my wp
Bronze|bro stop you my ez
Silver|mb clutch you mid gg
Gold|nice bro team gg
Gold|garbage bro you team
Platinum|are garbage diff thrower mid
Platinum|good mb are my
Silver|are gg mb good team
Gold|bro trash garbo play report my are
Silver|diff garbage you are my noob
Silver|trash team bro useless uninstall
Silver|mb clean my nice bro
Bronze|play ez mid stop my
Silver|the report bot play
Silver|clutch my wp game glhf
Bronze|my play good game the clean
Gold|the trash game thrower report
Silver|play mid you report bro
Diamond|you team bot quit bro
Diamond|bro quit suck play mid
Platinum|clutch play team wp you good
Bronze|are useless team my
Bronze|garbage bro suck stop
Gold|gg are team glhf
Grandmaster|suck mid garbo stop
Gold|my nice mid you
Platinum|the good my
Platinum|stop mid diff the bot ez are
Gold|game my mb nice you glhf
Grandmaster|play game are bro noob
Grandmaster|bot uninstall team thrower are
Diamond|play my the useless suck
Gold|thrower the noob quit you mid
Grandmaster|bot are useless my
Gold|mb gg mid bro wp play team
Gold|nice the are good
Silver|useless game stop
Bronze|garbage bro team my trash
Gold|stop nice the
Gold|game mid save mb nice
Gold|suck afk the you play my
Gold|team stop wp save are mid
Silver|are the play quit thrower garbo you
Gold|are mid the my diff
Gold|game mb clutch are
Gold|the bro report thrower are
Bronze|quit mid are play
Grandmaster|the clean play bro wp
Platinum|play garbage thrower quit mid the my
Silver|mid diff suck you bot bro play
Gold|play you save stop game
Gold|bro glhf play the
Gold|ez the are diff play
Platinum|my play you team save
Silver|stop my are team trash ez
Gold|bro team report
Grandmaster|good save game play
Bronze|game bro ez my trash stop
Platinum|bot report bro game garbage you
Silver|diff suck team my afk the
Platinum|you mid team my noob
Platinum|save mid team
Grandmaster|team trash bot my
Silver|you team stop nice clutch
Diamond|afk game report are my bro
Gold|stop my the clutch
Silver|you play ez garbage the bro
Silver|glhf are the wp
Bronze|quit suck you stop team
Bronze|diff bro my are quit afk play
Gold|bro you are team trash
Gold|play bot the
Gold|gg good bro team glhf
Diamond|garbage game mid garbo thrower
Gold|game afk play bot stop
Gold|glhf mb stop bro clean you are
Gold|game garbage play stop
Platinum|my ez are garbo mid
Gold|game clutch stop mb glhf team
Gold|team the play ez report game
Platinum|are my game trash suck
Bronze|team garbo stop bot afk are
Silver|diff bro my noob
Gold|my good mid
Gold|my the play uninstall
Gold|stop my uninstall play the suck
Silver|you thrower play my noob useless
Silver|bro team mid good are glhf
Silver|bro afk mid
Bronze|you afk stop my
Platinum|bro trash my useless mid thrower
Silver|clean are glhf wp the
Gold|the mid wp play stop
Silver|clutch mid glhf clean you the game
Silver|stop gg clutch you wp
Bronze|play gg nice the mb stop
Celestial|glhf you bro the good clutch
Bronze|my save gg mb stop
Silver|bot game noob useless bro
Silver|ez bro you the
Diamond|mid the team diff garbage play thrower
